Country or area,Subregion,Region,Internet users,Population_2021,Year,Percentage_Internet_Users
Tonga,Polynesia,Oceania,44558,106017,2021,42.0
Greenland,Northern America,Americas,39242,56243,2021,69.8
Jersey,Northern Europe,Europe,38958,109618,2021,35.5
Monaco,Western Europe,Europe,36686,36686,2021,100.0
Micronesia,Micronesia,Oceania,37257,534606,2021,7.0
Liechtenstein,Western Europe,Europe,37201,39039,2021,95.3
Gibraltar,Southern Europe,Europe,32494,32669,2021,99.5
Marshall Islands,Micronesia,Oceania,20560,42050,2021,48.9
San Marino,Southern Europe,Europe,20100,33745,2021,59.6
Palau,Micronesia,Oceania,6752,18024,2021,37.5
Kiribati,Micronesia,Oceania,16971,128874,2021,13.2
British Virgin Islands,Caribbean,Americas,14456,31122,2021,46.4
Anguilla,Caribbean,Americas,12043,15753,2021,76.4
Nauru,Micronesia,Oceania,6475,12511,2021,51.8
Tuvalu,Polynesia,Oceania,5520,11204,2021,49.3
"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa,2906,5404,2021,53.8
Falkland Islands,South America,Americas,2881,3764,2021,76.5
Montserrat,Caribbean,Americas,2833,4417,2021,64.1
Wallis and Futuna,Polynesia,Oceania,1383,11627,2021,11.9
Niue,Polynesia,Oceania,1034,1937,2021,53.4
